Elevation AGL (m),Wind North (m/s),Wind East (m/s),Air Density (kg/m^3)
0,-0.3873588566562588,4.427531991518869,96.91002361965985
100,4.252245830372754e-16,6.944444444444445,95.7584049569177
600,-0.23266331135000637,6.662605513460638,90.16527353115518
750,1.6882461717618233,9.574519820952023,88.53995661169716
900,3.230190242520205,8.874874751866912,86.93844521749658
1500,6.427876096865393,7.66044443118978,80.76513282188587
2000,5.833333333333334,10.103629710818451,75.89628767552063
3000,4.097968214123244,15.293825582910248,66.87073914452536
4200,4.529333289294113,16.903701960058697,57.20807622547578
5500,4.529333289294113,16.903701960058697,48.04912890512036
7000,10.27777777777778,17.80163330001346,38.99526822494153
9000,5.679640156416427,21.196705632454556,29.12215806527517
